ID_all;SMILES;ID_Potts;orig_ID_Potts;yorig_Potts;CAS_Potts;NAME_Potts;units_Potts;smilessource_Potts;SMILES_Potts;desired_units_Potts;y_Potts;ID_Khajeh;orig_ID_Khajeh;yorig_Khajeh;CAS_Khajeh;NAME_Khajeh;units_Khajeh;smilessource_Khajeh;SMILES_Khajeh;desired_units_Khajeh;y_Khajeh;zscore_Potts;zscore_Potts_thres;y_Potts_nointraoutliers;zscore_Potts_nointraoutliers;zscore_Potts_nointraoutliers_thres;zscore_Khajeh;zscore_Khajeh_thres;y_Khajeh_nointraoutliers;zscore_Khajeh_nointraoutliers;zscore_Khajeh_nointraoutliers_thres;stand_desv_Potts_Khajeh_nointraoutliers;y_Potts_nointraoutliers_nointeroutliers;y_Khajeh_nointraoutliers_nointeroutliers;stand_desv_Potts_Khajeh_nointraoutliers_nointeroutliers;y_consensus;y_consensus_sd;valid/outlier
10;C=CC(=O)OCCCC;210;211;-2.0;141-32-2;;logcm/h;isoSMILES_from_CAS;C=CC(=O)OCCCC;logcm/h;-2.0;86;87;-2.0;;Butyl acrylate ;logcm/h;isoSMILES_from_NAME;C=CC(=O)OCCCC;logcm/h;-2.0;0.5955756424986215;0;-2.0;0.5955756424986215;0;0.5702986040786076;0;-2.0;0.5696696115600901;0;0.0;-2.0;-2.0;0.0;-2.0;0.0;valid
11;C=CC=O;171;172;-3.07;107-02-8;;logcm/h;isoSMILES_from_CAS;C=CC=O;logcm/h;-3.07;64;65;-3.07;;Acrolein ;logcm/h;isoSMILES_from_NAME;C=CC=O;logcm/h;-3.07;-0.3457928865675858;0;-3.07;-0.3457928865675858;0;-0.5114899214063258;0;-3.07;-0.5379702234459264;0;0.0;-3.07;-3.07;0.0;-3.07;0.0;valid
12;C=CCO;267;268;-2.95;107-18-6;;logcm/h;isoSMILES_from_CAS;C=CCO;logcm/h;-2.95;67;68;-2.95;;Allyl alcohol ;logcm/h;isoSMILES_from_NAME;C=CCO;logcm/h;-2.95;-0.2402188459246469;0;-2.95;-0.2402188459246469;0;-0.39016784378184755;0;-2.95;-0.4137489335387099;0;0.0;-2.95;-2.95;0.0;-2.95;0.0;valid
13;C=CCOc1ccccc1OCC(O)CNC(C)C;151;152;-2.81185;6452-71-7;;logcm/h;isoSMILES_from_CAS;C=CCOc1ccccc1OCC(O)CNC(C)C;logcm/h;-2.81185;183;184;-2.81;;oxprenolol;logcm/h;isoSMILES_from_NAME;C=CCOc1ccccc1OCC(O)CNC(C)C;logcm/h;-2.81;-0.11867673163446321;0;-2.81185;-0.11867673163446321;0;-0.24862541988662248;0;-2.81;-0.26882409531362345;0;0.00046537973983482457;-2.81185;-2.81;0.00046537973983482457;-2.810925;0.0013081475451952043;valid
14;C=CCc1ccccc1OCC(O)CNC(C)C;185;186;-3.5437;13707-88-5;;logcm/h;isoSMILES_from_CAS;C=CCc1ccccc1OCC(O)CNC(C)C;logcm/h;-3.5437;;;;;;;;;;;-0.762546412005588;0;-3.5437;-0.762546412005588;0;;-1;;;-1;;-3.5437;;;-3.5437;;valid
15;C=COC(C)=O;176;177;-2.73;108-05-4;;logcm/h;isoSMILES_from_CAS;C=COC(C)=O;logcm/h;-2.73;222;223;-2.73;;Vinyl acetate ;logcm/h;isoSMILES_from_NAME;C=COC(C)=O;logcm/h;-2.73;-0.0466664380792583;0;-2.73;-0.0466664380792583;0;-0.16774403480363673;0;-2.73;-0.18600990204214551;0;0.0;-2.73;-2.73;0.0;-2.73;0.0;valid
16;C=Cc1ccccc1;127;128;-0.18728;100-42-5;;logcm/h;isoSMILES_from_CAS;C=Cc1ccccc1;logcm/h;-0.18728;;;;;;;;;;;2.1903771004508603;0;-0.18728;2.1903771004508603;0;;-1;;;-1;;-0.18728;;;-0.18728;;valid
17;C=O;172;173;-2.65;50-00-0;;logcm/h;isoSMILES_from_CAS;C=O;logcm/h;-2.65;128;129;-2.65;;Formaldehyde ;logcm/h;isoSMILES_from_NAME;C=O;logcm/h;-2.65;0.023716255682701196;0;-2.65;0.023716255682701196;0;-0.08686264972065098;0;-2.65;-0.10319570877066757;0;0.0;-2.65;-2.65;0.0;-2.65;0.0;valid
18;CC#N;173;174;-3.21;75-05-8;;logcm/h;isoSMILES_from_CAS;CC#N;logcm/h;-3.21;63;64;-3.21;;Acetonitrile ;logcm/h;isoSMILES_from_NAME;CC#N;logcm/h;-3.21;-0.46896260065101486;0;-3.21;-0.46896260065101486;0;-0.6530323453015509;0;-3.21;-0.6828950616710128;0;0.0;-3.21;-3.21;0.0;-3.21;0.0;valid
19;CC(=O)C(Cl)(Cl)Cl;175;176;-1.62;918-00-3;;logcm/h;isoSMILES_from_CAS;CC(=O)C(Cl)(Cl)Cl;logcm/h;-1.62;;;;;;;;;;;0.9298934378679287;0;-1.62;0.9298934378679287;0;;-1;;;-1;;-1.62;;;-1.62;;valid
20;CC(=O)C(Cl)Cl;112;113;-1.41685;513-88-2;;logcm/h;isoSMILES_from_CAS;CC(=O)C(Cl)Cl;logcm/h;-1.41685;;;;;;;;;;;1.1086214908397045;0;-1.41685;1.1086214908397045;0;;-1;;;-1;;-1.41685;;;-1.41685;;valid
21;CC(=O)N(C)C;222;223;-2.8;127-19-5;;logcm/h;isoSMILES_from_CAS;CC(=O)N(C)C;logcm/h;-2.8;256;257;-2.8;;Dimethyl acetamide ;logcm/h;isoSMILES_from_NAME;CC(=O)N(C)C;logcm/h;-2.8;-0.10825129512097266;0;-2.8;-0.10825129512097266;0;-0.23851524675124905;0;-2.8;-0.2584723211546885;0;0.0;-2.8;-2.8;0.0;-2.8;0.0;valid
22;CC(=O)O;11;12;-2.80026;64-19-7;;logcm/h;isoSMILES_from_CAS;CC(=O)O;logcm/h;-2.80026;61;62;-3.21;;Acetic acid ;logcm/h;isoSMILES_from_NAME;CC(=O)O;logcm/h;-3.21;-0.10848003887569936;0;-2.80026;-0.10848003887569936;0;-0.6530323453015509;0;-3.21;-0.6828950616710128;0;0.09641178003060626;-2.80026;-3.21;0.09641178003060626;-3.0051300000000003;0.2897299325233758;valid
23;CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C;164;165;-2.76989;356-12-7;;logcm/h;isoSMILES_from_CAS;CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C;logcm/h;-2.76989;127;128;-2.77;;Fluocinonide ;logcm/h;isoSMILES_from_NAME;CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C;logcm/h;-2.77;-0.08176100875631549;0;-2.76989;-0.08176100875631549;0;-0.2081847273451296;0;-2.77;-0.22741699867788448;0;2.8080610239698534e-05;-2.76989;-2.77;2.8080610239698534e-05;-2.769945;7.778174593040175e-05;valid
24;CC(=O)Oc1ccccc1C(=O)O;80;81;-2.10689;50-78-2;;logcm/h;isoSMILES_from_CAS;CC(=O)Oc1ccccc1C(=O)O;logcm/h;-2.10689;;;;;;;;;;;0.5015355657959235;0;-2.10689;0.5015355657959235;0;;-1;;;-1;;-2.10689;;;-2.10689;;valid
25;CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C;34;35;-3.16769;68-96-2;;logcm/h;isoSMILES_from_CAS;CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C;logcm/h;-3.16769;;;;;;;;;;;-0.4317389534876585;0;-3.16769;-0.4317389534876585;0;;-1;;;-1;;-3.16769;;;-3.16769;;valid
26;CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(O)(O)CC[C@]4(C)[C@H]3CC[C@]12C;35;36;-3.16749;12041-98-4;;logcm/h;isoSMILES_from_CAS;CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(O)(O)CC[C@]4(C)[C@H]3CC[C@]12C;logcm/h;-3.16749;;;;;;;;;;;-0.43156299675325366;0;-3.16749;-0.43156299675325366;0;;-1;;;-1;;-3.16749;;;-3.16749;;valid
27;CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C;31;32;-2.77315;145-13-1;;logcm/h;isoSMILES_from_CAS;CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C;logcm/h;-2.77315;;;;;;;;;;;-0.08462910352711499;0;-2.77315;-0.08462910352711499;0;;-1;;;-1;;-2.77315;;;-2.77315;;valid
28;CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1;177;178;-3.4537;26839-75-8;;logcm/h;isoSMILES_from_CAS;CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1;logcm/h;-3.4537;;;;;;;;;;;-0.6833658815233838;0;-3.4537;-0.6833658815233838;0;;-1;;;-1;;-3.4537;;;-3.4537;;valid
29;CC(C)(C)c1ccccc1O;97;98;-1.02185;88-18-6;;logcm/h;isoSMILES_from_CAS;CC(C)(C)c1ccccc1O;logcm/h;-1.02185;;;;;;;;;;;1.4561360412893793;0;-1.02185;1.4561360412893793;0;;-1;;;-1;;-1.02185;;;-1.02185;;valid
30;CC(C)=O;178;179;-3.29;67-64-1;;logcm/h;isoSMILES_from_CAS;CC(C)=O;logcm/h;-3.29;62;63;-3.29;;Acetone ;logcm/h;isoSMILES_from_NAME;CC(C)=O;logcm/h;-3.29;-0.5393452944129744;0;-3.29;-0.5393452944129744;0;-0.7339137303845366;0;-3.29;-0.7657092549424906;0;0.0;-3.29;-3.29;0.0;-3.29;0.0;valid
31;CC(C)CC(C)O;181;182;-2.33;108-11-2;;logcm/h;isoSMILES_from_CAS;CC(C)CC(C)O;logcm/h;-2.33;54;55;-2.33;;4-Methyl-2-pentanol ;logcm/h;isoSMILES_from_NAME;CC(C)CC(C)O;logcm/h;-2.33;0.30524703073053877;0;-2.33;0.30524703073053877;0;0.2366628906112916;0;-2.33;0.22806106431524376;0;0.0;-2.33;-2.33;0.0;-2.33;0.0;valid
32;CC(C)CCO;182;183;-2.0;123-51-3;;logcm/h;isoSMILES_from_CAS;CC(C)CCO;logcm/h;-2.0;144;145;-2.0;;Isoamyl alcohol ;logcm/h;isoSMILES_from_NAME;CC(C)CCO;logcm/h;-2.0;0.5955756424986215;0;-2.0;0.5955756424986215;0;0.5702986040786076;0;-2.0;0.5696696115600901;0;0.0;-2.0;-2.0;0.0;-2.0;0.0;valid
33;CC(C)CO;183;184;-2.65;78-83-1;;logcm/h;isoSMILES_from_CAS;CC(C)CO;logcm/h;-2.65;145;146;-2.65;;Isobutanol ;logcm/h;isoSMILES_from_NAME;CC(C)CO;logcm/h;-2.65;0.023716255682701196;0;-2.65;0.023716255682701196;0;-0.08686264972065098;0;-2.65;-0.10319570877066757;0;0.0;-2.65;-2.65;0.0;-2.65;0.0;valid
34;CC(C)N;184;185;-2.9;75-31-0;;logcm/h;isoSMILES_from_CAS;CC(C)N;logcm/h;-2.9;265;266;-2.9;;Isopropylamine ;logcm/h;isoSMILES_from_NAME;CC(C)N;logcm/h;-2.9;-0.19622966232342204;0;-2.9;-0.19622966232342204;0;-0.33961697810498126;0;-2.9;-0.36199006274403595;0;0.0;-2.9;-2.9;0.0;-2.9;0.0;valid
35;CC(C)NCC(O)COc1ccc(CC(N)=O)cc1;152;153;-3.79246;29122-68-7;;logcm/h;isoSMILES_from_CAS;CC(C)NCC(O)COc1ccc(CC(N)=O)cc1;logcm/h;-3.79246;244;245;-4.3;;atenolol;logcm/h;isoSMILES_from_NAME;CC(C)NCC(O)COc1ccc(CC(N)=O)cc1;logcm/h;-4.3;-0.9814013982584012;0;-3.79246;-0.9814013982584012;0;-1.7550412170572305;0;-4.3;-1.8112384449948986;0;0.0886961383123105;-3.79246;-4.3;0.0886961383123105;-4.0462299999999995;0.3588849757234201;valid
36;CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1;132;133;-2.73685;63659-18-7;;logcm/h;isoSMILES_from_CAS;CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1;logcm/h;-2.73685;;;;;;;;;;;-0.05269295623262609;0;-2.73685;-0.05269295623262609;0;;-1;;;-1;;-2.73685;;;-2.73685;;valid
37;CC(C)NCC(O)COc1cccc2ccccc12;46;47;-2.72858;525-66-6;;logcm/h;isoSMILES_from_CAS;CC(C)NCC(O)COc1cccc2ccccc12;logcm/h;-2.72858;279;280;-2.75;;propranolol;logcm/h;isoSMILES_from_NAME;CC(C)NCC(O)COc1cccc2ccccc12;logcm/h;-2.75;-0.04541714526498354;0;-2.72858;-0.04541714526498354;0;-0.18796438107438318;0;-2.75;-0.206713450360015;0;0.005529252927954267;-2.72858;-2.75;0.005529252927954267;-2.73929;0.015146227253015844;valid
38;CC(C)O;186;187;-3.05;67-63-0;;logcm/h;isoSMILES_from_CAS;CC(C)O;logcm/h;-3.05;147;148;-3.05;;Isopropyl alcohol ;logcm/h;isoSMILES_from_NAME;CC(C)O;logcm/h;-3.05;-0.3281972131270959;0;-3.05;-0.3281972131270959;0;-0.4912695751355793;0;-3.05;-0.5172666751280568;0;0.0;-3.05;-3.05;0.0;-3.05;0.0;valid
39;CC(C)OCCO;87;88;-3.25185;109-59-1;;logcm/h;isoSMILES_from_CAS;CC(C)OCCO;logcm/h;-3.25185;;;;;;;;;;;-0.50578154732524;0;-3.25185;-0.50578154732524;0;;-1;;;-1;;-3.25185;;;-3.25185;;valid
40;CC(C)c1ccccc1;180;181;-0.85;98-82-8;;logcm/h;isoSMILES_from_CAS;CC(C)c1ccccc1;logcm/h;-0.85;253;254;-0.85;;Cumene ;logcm/h;isoSMILES_from_NAME;CC(C)c1ccccc1;logcm/h;-0.85;1.6073268653267883;0;-0.85;1.6073268653267883;0;1.7329685146465268;0;-0.85;1.7601236398375844;0;0.0;-0.85;-0.85;0.0;-0.85;0.0;valid
41;CC(CO)c1ccccc1;187;188;-1.28;1123-85-9;;logcm/h;isoSMILES_from_CAS;CC(CO)c1ccccc1;logcm/h;-1.28;;;;;;;;;;;1.2290198863562563;0;-1.28;1.2290198863562563;0;;-1;;;-1;;-1.28;;;-1.28;;valid
42;CC(Cl)(Cl)Cl;133;134;-2.3481;71-55-6;;logcm/h;isoSMILES_from_CAS;CC(Cl)(Cl)Cl;logcm/h;-2.3481;225;226;-2.35;;1,1,1-Trichloroethane ;logcm/h;isoSMILES_from_NAME;CC(Cl)(Cl)Cl;logcm/h;-2.35;0.2893229462668955;0;-2.3481;0.2893229462668955;0;0.21644254434054513;0;-2.35;0.2073575159973743;0;0.0005719345625910258;-2.3481;-2.35;0.0005719345625910258;-2.34905;0.0013435028842544493;valid
43;CC(Cl)CCl;189;190;-2.0;78-87-5;;logcm/h;isoSMILES_from_CAS;CC(Cl)CCl;logcm/h;-2.0;200;201;-2.0;;Propylene dichloride ;logcm/h;isoSMILES_from_NAME;CC(Cl)CCl;logcm/h;-2.0;0.5955756424986215;0;-2.0;0.5955756424986215;0;0.5702986040786076;0;-2.0;0.5696696115600901;0;0.0;-2.0;-2.0;0.0;-2.0;0.0;valid
44;CC(N)Cc1ccccc1;190;191;-4.85;300-62-9;;logcm/h;isoSMILES_from_CAS;CC(N)Cc1ccccc1;logcm/h;-4.85;;;;;;;;;;;-1.911807822771183;0;-4.85;-1.911807822771183;0;;-1;;;-1;;-4.85;;;-4.85;;valid
45;CC(O)COC(=O)c1cccnc1;191;192;-4.23;61379-44-0;;logcm/h;isoSMILES_from_CAS;CC(O)COC(=O)c1cccnc1;logcm/h;-4.23;;;;;;;;;;;-1.366341946115998;0;-4.23;-1.366341946115998;0;;-1;;;-1;;-4.23;;;-4.23;;valid
46;CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1;192;193;-4.69;76-25-5;;logcm/h;isoSMILES_from_CAS;CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1;logcm/h;-4.69;218;219;-4.69;;triamcinolone acetonide;logcm/h;isoSMILES_from_NAME;CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1;logcm/h;-4.69;-1.7710424352472647;0;-4.69;-1.7710424352472647;0;-2.1493379693367864;0;-4.69;-2.2149576371933537;0;0.0;-4.69;-4.69;0.0;-4.69;0.0;valid
47;CC1CO1;198;199;-3.05;75-56-9;;logcm/h;isoSMILES_from_CAS;CC1CO1;logcm/h;-3.05;201;202;-3.05;;Propylene oxide;logcm/h;isoSMILES_from_NAME;CC1CO1;logcm/h;-3.05;-0.3281972131270959;0;-3.05;-0.3281972131270959;0;-0.4912695751355793;0;-3.05;-0.5172666751280568;0;0.0;-3.05;-3.05;0.0;-3.05;0.0;valid
48;CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(c6coc(O)c6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O;10;11;-6.02062;36-06-6;;logcm/h;noisoSMILES_from_CAS;CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(c6coc(O)c6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O;logcm/h;-6.02062;;;;;;;;;;;-2.941700184916495;0;-6.02062;-2.941700184916495;0;;-1;;;-1;;-6.02062;;;-6.02062;;valid
49;CC=O;199;200;-3.15;75-07-0;;logcm/h;isoSMILES_from_CAS;CC=O;logcm/h;-3.15;241;242;-3.15;;Acetaldehyde ;logcm/h;isoSMILES_from_NAME;CC=O;logcm/h;-3.15;-0.41617558032954527;0;-3.15;-0.41617558032954527;0;-0.5923713064893115;0;-3.15;-0.6207844167174043;0;0.0;-3.15;-3.15;0.0;-3.15;0.0;valid
50;CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1;52;53;-2.04435;56030-54-7;;logcm/h;isoSMILES_from_CAS;CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1;logcm/h;-2.04435;;;;;;;;;;;0.5565572366443351;0;-2.04435;0.5565572366443351;0;;-1;;;-1;;-2.04435;;;-2.04435;;valid
51;CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1;18;19;-2.17579;437-38-7;;logcm/h;isoSMILES_from_CAS;CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1;logcm/h;-2.17579;126;127;-2.25;;Fentanyl ;logcm/h;isoSMILES_from_NAME;CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1;logcm/h;-2.25;0.44091847079343577;0;-2.17579;0.44091847079343577;0;0.31754427569427734;0;-2.25;0.31087525758672174;0;0.023713006822218684;-2.17579;-2.25;0.023713006822218684;-2.212895;0.05247439423185361;valid
52;CCC(=O)O;203;204;-2.94;79-09-4;;logcm/h;isoSMILES_from_CAS;CCC(=O)O;logcm/h;-2.94;197;198;-2.94;;Propionic acid ;logcm/h;isoSMILES_from_NAME;CCC(=O)O;logcm/h;-2.94;-0.23142100920440178;0;-2.94;-0.23142100920440178;0;-0.3800576706464741;0;-2.94;-0.4033971593797749;0;0.0;-2.94;-2.94;0.0;-2.94;0.0;valid
53;CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C;200;201;-2.47;6677-98-1;;logcm/h;isoSMILES_from_CAS;CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C;logcm/h;-2.47;;;;;;;;;;;0.18207731664710966;0;-2.47;0.18207731664710966;0;;-1;;;-1;;-2.47;;;-2.47;;valid
54;CCC(C)=O;16;17;-2.49867;78-93-3;;logcm/h;isoSMILES_from_CAS;CCC(C)=O;logcm/h;-2.49867;230;231;-2.95;;2-butanone ;logcm/h;isoSMILES_from_NAME;CCC(C)=O;logcm/h;-2.95;0.15685391877016747;0;-2.49867;0.15685391877016747;0;-0.39016784378184755;0;-2.95;-0.4137489335387099;0;0.11714363452105725;-2.49867;-2.95;0.11714363452105725;-2.724335;0.3191385035529245;valid
55;CCC(C)C1(CC)C(=O)NC(=O)NC1=O;201;202;-3.71;125-40-6;;logcm/h;isoSMILES_from_CAS;CCC(C)C1(CC)C(=O)NC(=O)NC1=O;logcm/h;-3.71;;;;;;;;;;;-0.9088544366632613;0;-3.71;-0.9088544366632613;0;;-1;;;-1;;-3.71;;;-3.71;;valid
56;CCC(CO)c1ccccc1;202;203;-1.19;2035-94-1;;logcm/h;isoSMILES_from_CAS;CCC(CO)c1ccccc1;logcm/h;-1.19;;;;;;;;;;;1.3082004168384609;0;-1.19;1.3082004168384609;0;;-1;;;-1;;-1.19;;;-1.19;;valid
57;CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O;145;146;-3.09185;52-31-3;;logcm/h;isoSMILES_from_CAS;CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O;logcm/h;-3.09185;96;97;-3.09;;cyclobarbitone;logcm/h;isoSMILES_from_NAME;CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O;logcm/h;-3.09;-0.36501615980132107;0;-3.09185;-0.36501615980132107;0;-0.5317102676770722;0;-3.09;-0.5586737717637958;0;0.00042322202744977776;-3.09185;-3.09;0.00042322202744977776;-3.090925;0.0013081475451952043;valid
58;CCC1(CC)C(=O)NC(=O)NC1=O;76;77;-3.93217;57-44-3;;logcm/h;isoSMILES_from_CAS;CCC1(CC)C(=O)NC(=O)NC1=O;logcm/h;-3.93217;246;247;-3.9137;;barbital ;logcm/h;isoSMILES_from_NAME;CCC1(CC)C(=O)NC(=O)NC1=O;logcm/h;-3.9137;-1.1043159750769431;0;-3.93217;-1.1043159750769431;0;-1.3644852288377636;0;-3.9137;-1.41134940923525;0;0.0033292068944592965;-3.93217;-3.9137;0.0033292068944592965;-3.922935;0.01306026224851568;valid
