ID_all;SMILES;ID_Bocci;orig_ID_Bocci;yorig_Bocci;CAS_Bocci;NAME_Bocci;units_Bocci;smilessource_Bocci;SMILES_Bocci;desired_units_Bocci;y_Bocci;ID_Metrabase;orig_ID_Metrabase;yorig_Metrabase;CAS_Metrabase;NAME_Metrabase;units_Metrabase;smilessource_Metrabase;SMILES_Metrabase;desired_units_Metrabase;y_Metrabase;ID_Sedykh;orig_ID_Sedykh;yorig_Sedykh;CAS_Sedykh;NAME_Sedykh;units_Sedykh;smilessource_Sedykh;SMILES_Sedykh;desired_units_Sedykh;y_Sedykh;ID_Livertox;orig_ID_Livertox;yorig_Livertox;CAS_Livertox;NAME_Livertox;units_Livertox;smilessource_Livertox;SMILES_Livertox;desired_units_Livertox;y_Livertox;comparison_Bocci_Metrabase;onlyequal_Bocci_Metrabase;comparison_Bocci_Sedykh;onlyequal_Bocci_Sedykh;comparison_Bocci_Livertox;onlyequal_Bocci_Livertox;comparison_Metrabase_Sedykh;onlyequal_Metrabase_Sedykh;comparison_Metrabase_Livertox;onlyequal_Metrabase_Livertox;comparison_Sedykh_Livertox;onlyequal_Sedykh_Livertox;y_Metrabase_nonambiguous;y_Bocci_nonambiguous;y_Sedykh_nonambiguous;y_Livertox_nonambiguous;y_consensus;valid/outlier
10;Cc1cc(=O)oc2cc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)ccc12;10.0;;1.0;;4-methylumbelliferone glucuronide;classBCRPsub;SMILES;Cc1cc(=O)oc2cc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)ccc12;classBCRPsub;1.0;;;;;;;;;;;3.0;2454.0;1.0;6160801.0;4-Methylumbelliferone glucuronide;classBCRPsub;SMILES;Cc1cc(=O)oc2cc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)ccc12;classBCRPsub;1.0;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;;1.0;1.0;;1.0;valid
11;Cc1cc(=O)oc2cc(OS(=O)(=O)O)ccc12;11.0;;1.0;;4-methylumbelliferone sulfate;classBCRPsub;SMILES;Cc1cc(=O)oc2cc(OS(=O)(=O)O)ccc12;classBCRPsub;1.0;25.0;mbcd0000071;1.0;;4-methylumbelliferone sulfate;classBCRPsub;smiles;Cc1cc(=O)oc2cc(OS(=O)(=O)O)ccc12;classBCRPsub;1.0;4.0;2455.0;1.0;15220118.0;4-Methylumbelliferone sulfate;classBCRPsub;SMILES;Cc1cc(=O)oc2cc(OS(=O)(=O)O)ccc12;classBCRPsub;1.0;1533.0;1533.0;1.0;;mol_0199;classBCRPsub;SMILES;Cc1cc(=O)oc2cc(OS(=O)(=O)O)ccc12;classBCRPsub;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;valid
12;CNc1nc2c(Cc3cccnc3)c(C)c(OS(=O)(=O)O)c(C)c2s1;12.0;;1.0;;6-hydroxy-5,7-dimetyl-2-metylamino-4-(3-pyridylmethyl) benzothiazole sulfate;classBCRPsub;SMILES;CNc1nc2c(Cc3cccnc3)c(C)c(OS(=O)(=O)O)c(C)c2s1;classBCRPsub;1.0;5.0;mbcd0030263;1.0;;E3040S;classBCRPsub;smiles;CNc1nc2c(Cc3cccnc3)c(C)c(OS(=O)(=O)O)c(C)c2s1;classBCRPsub;1.0;5.0;2464.0;1.0;157192079.0;6-Hydroxy-5,7-dimetyl-2-metylamino-4-(3-pyridylmethyl) benzothiazole sulfate;classBCRPsub;SMILES;CNc1nc2c(Cc3cccnc3)c(C)c(OS(=O)(=O)O)c(C)c2s1;classBCRPsub;1.0;1586.0;1586.0;1.0;;mol_0452;classBCRPsub;SMILES;CNc1nc2c(Cc3cccnc3)c(C)c(OS(=O)(=O)O)c(C)c2s1;classBCRPsub;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;valid
13;S=c1nc[nH]c2nc[nH]c12;13.0;;1.0;;6-mercaptopurine;classBCRPsub;SMILES;S=c1nc[nH]c2nc[nH]c12;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;1.0;;;1.0;valid
14;CC(C)=CCc1c(O)cc2oc(-c3ccccc3)cc(=O)c2c1O;14.0;;0.0;;6-prenyl-chrysin;classBCRPsub;SMILES;CC(C)=CCc1c(O)cc2oc(-c3ccccc3)cc(=O)c2c1O;classBCRPsub;0.0;395.0;mbcd0031440;0.0;;6-Prenyl-chrysin;classBCRPsub;smiles;CC(C)=CCc1c(O)cc2oc(-c3ccccc3)cc(=O)c2c1O;classBCRPsub;0.0;6.0;2465.0;0.0;50678916.0;6-Prenyl-chrysin;classBCRPsub;SMILES;CC(C)=CCc1c(O)cc2oc(-c3ccccc3)cc(=O)c2c1O;classBCRPsub;0.0;1388.0;1388.0;0.0;;mol_0189;classBCRPsub;SMILES;CC(C)=CCc1c(O)cc2oc(-c3ccccc3)cc(=O)c2c1O;classBCRPsub;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;valid
15;O=c1ccc2ccc(O)cc2o1;15.0;;0.0;;7-hydroxycoumarin;classBCRPsub;SMILES;O=c1ccc2ccc(O)cc2o1;classBCRPsub;0.0;35.0;mbcd0031667;0.0;;7-hydroxycoumarin;classBCRPsub;smiles;O=c1ccc2ccc(O)cc2o1;classBCRPsub;0.0;;;;;;;;;;;1393.0;1393.0;0.0;;mol_0191;classBCRPsub;SMILES;O=c1ccc2ccc(O)cc2o1;classBCRPsub;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;valid
16;O=C([O-])[C@H]1O[C@@H](Oc2ccc3ccc(=O)oc3c2)[C@H](O)[C@@H](O)[C@@H]1O;16.0;;0.0;;7-hydroxycoumarin glucuronide;classBCRPsub;SMILES;O=C([O-])[C@H]1O[C@@H](Oc2ccc3ccc(=O)oc3c2)[C@H](O)[C@@H](O)[C@@H]1O;classBCRPsub;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;0.0;valid
17;CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1;17.0;;1.0;;9-aminocamptothecin;classBCRPsub;SMILES;CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1;classBCRPsub;1.0;238.0;mbcd0000100;1.0;;9-Aminocamptothecin;classBCRPsub;smiles;CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1;classBCRPsub;1.0;7.0;2475.0;1.0;91421431.0;9-Aminocamptothecin;classBCRPsub;SMILES;CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1;classBCRPsub;1.0;1364.0;1364.0;1.0;;mol_0200;classBCRPsub;SMILES;CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1;classBCRPsub;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;valid
18;CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c([N+](=O)[O-])cccc3nc2-1;18.0;;0.0;;9-nitrocamptothecin;classBCRPsub;SMILES;CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c([N+](=O)[O-])cccc3nc2-1;classBCRPsub;0.0;296.0;mbcd0029455;0.0;;9-Nitrocamptothecin;classBCRPsub;smiles;CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c([N+](=O)[O-])cccc3nc2-1;classBCRPsub;0.0;8.0;2476.0;0.0;91421420.0;9-Nitrocamptothecin;classBCRPsub;SMILES;CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c([N+](=O)[O-])cccc3nc2-1;classBCRPsub;0.0;1365.0;1365.0;0.0;;mol_0092;classBCRPsub;SMILES;CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c([N+](=O)[O-])cccc3nc2-1;classBCRPsub;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;valid
19;C=CC(=C)CN1C(=O)c2c3nc(cc4[nH]c(cc5nc(cc6[nH]c2c(c6C)C1=O)C(CC)=C5C)c(CC)c4C)[C@@H](C)[C@@H]3CCC(=O)OC;19.0;;1.0;;9,12-imino-2,21-metheno-7,4:14,17-dinitrilo-4H-pyrido[4,3-b]azacyclononadecine-16-propanoic acid, 5,10-diethyl-1,15,16,18,19,20-hexahydro-6,11,15,22-tetramethyl-19-(2-methylene-3-buten-1-yl)-18,20-dioxo-, methyl ester, (15S,16S)-;classBCRPsub;SMILES;C=CC(=C)CN1C(=O)c2c3nc(cc4[nH]c(cc5nc(cc6[nH]c2c(c6C)C1=O)C(CC)=C5C)c(CC)c4C)[C@@H](C)[C@@H]3CCC(=O)OC;classBCRPsub;1.0;197.0;mbcd0030234;1.0;;9,12-Imino-2,21-metheno-7,4:14,17-dinitrilo-4H-pyrido[4,3-b]azacyclononadecine-16-propanoic acid, 5,10-diethyl-1,15,16,18,19,20-hexahydro-6,11,15,22-tetramethyl-19-(2-methylene-3-buten-1-yl)-18,20-dioxo-, methyl ester, (15S,16S)-;classBCRPsub;smiles;C=CC(=C)CN1C(=O)c2c3nc(cc4[nH]c(cc5nc(cc6[nH]c2c(c6C)C1=O)C(CC)=C5C)c(CC)c4C)[C@@H](C)[C@@H]3CCC(=O)OC;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;;;1.0;valid
20;CCOCN(C(=O)CCl)c1c(C)cccc1CC;20.0;;0.0;;Acetochlor;classBCRPsub;SMILES;CCOCN(C(=O)CCl)c1c(C)cccc1CC;classBCRPsub;0.0;256.0;mbcd0026020;0.0;;Acetochlor;classBCRPsub;smiles;CCOCN(C(=O)CCl)c1c(C)cccc1CC;classBCRPsub;0.0;;;;;;;;;;;1200.0;1200.0;0.0;;mol_0071;classBCRPsub;SMILES;CCOCN(C(=O)CCl)c1c(C)cccc1CC;classBCRPsub;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;valid
21;CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC;21.0;;0.0;;Aclarubicin;classBCRPsub;SMILES;CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC;classBCRPsub;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;0.0;valid
22;Nc1nc(=O)c2ncn(COCCO)c2[nH]1;22.0;;1.0;;Acyclovir;classBCRPsub;SMILES;Nc1nc(=O)c2ncn(COCCO)c2[nH]1;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;1.0;;;1.0;valid
23;Nc1ncnc2c1ncn2CCOCP(=O)(O)O;23.0;;0.0;;Adefovir;classBCRPsub;SMILES;Nc1ncnc2c1ncn2CCOCP(=O)(O)O;classBCRPsub;0.0;;;;;;;;;;;143.0;2840.0;0.0;106941257.0;Adefovir (PMEA);classBCRPsub;SMILES;Nc1ncnc2c1ncn2CCOCP(=O)(O)O;classBCRPsub;0.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;;0.0;0.0;;0.0;valid
24;COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2;24.0;;1.0;;Aflatoxin B1;classBCRPsub;SMILES;COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2;classBCRPsub;1.0;213.0;mbcd0029932;1.0;;Aflatoxin B1;classBCRPsub;smiles;COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;;;1.0;valid
25;CN(Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc2c3c(cccc13)C(N)=N2;25.0;;0.0;;AG 331;classBCRPsub;SMILES;CN(Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc2c3c(cccc13)C(N)=N2;classBCRPsub;0.0;94.0;mbcd0029963;1.0;;AG 331;classBCRPsub;smiles;CN(Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc2c3c(cccc13)C(N)=N2;classBCRPsub;1.0;;;;;;;;;;;1506.0;1506.0;1.0;;mol_0380;classBCRPsub;SMILES;CN(Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc2c3c(cccc13)C(N)=N2;classBCRPsub;1.0;-1.0;;0.0;0.0;-1.0;;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;outlier
26;Cc1ccc2[nH]c(N)nc(=O)c2c1Sc1ccncc1;26.0;;0.0;;AG 377;classBCRPsub;SMILES;Cc1ccc2[nH]c(N)nc(=O)c2c1Sc1ccncc1;classBCRPsub;0.0;365.0;mbcd0031133;1.0;;Nolatrexed;classBCRPsub;smiles;Cc1ccc2[nH]c(N)nc(=O)c2c1Sc1ccncc1;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;-1.0;;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;;;;;;;;outlier
27;COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC;27.0;;1.0;;AG1478;classBCRPsub;SMILES;COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC;classBCRPsub;1.0;225.0;mbcd0011472;1.0;;AG1478;classBCRPsub;smiles;COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC;classBCRPsub;1.0;;;;;;;;;;;1210.0;1210.0;1.0;;mol_0304;classBCRPsub;SMILES;COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC;classBCRPsub;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;valid
28;CCc1cccc(CC)c1N(COC)C(=O)CCl;28.0;;0.0;;Alachlor;classBCRPsub;SMILES;CCc1cccc(CC)c1N(COC)C(=O)CCl;classBCRPsub;0.0;217.0;mbcd0029408;0.0;;Alachlor;classBCRPsub;smiles;CCc1cccc(CC)c1N(COC)C(=O)CCl;classBCRPsub;0.0;;;;;;;;;;;1199.0;1199.0;0.0;;mol_0086;classBCRPsub;SMILES;CCc1cccc(CC)c1N(COC)C(=O)CCl;classBCRPsub;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;valid
29;CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1;29.0;;0.0;;Albendazole;classBCRPsub;SMILES;CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1;classBCRPsub;0.0;397.0;mbcd0014953;0.0;;Albendazole;classBCRPsub;smiles;CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1;classBCRPsub;0.0;;;;;;;;;;;1518.0;1518.0;0.0;;mol_0066;classBCRPsub;SMILES;CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1;classBCRPsub;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;valid
30;CCCS(=O)c1ccc2[nH]c(NC(=O)OC)nc2c1;30.0;;1.0;;Albendazole-sulphoxide;classBCRPsub;SMILES;CCCS(=O)c1ccc2[nH]c(NC(=O)OC)nc2c1;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;1.0;;;1.0;valid
31;C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12;31.0;;0.0;;Aldosterone;classBCRPsub;SMILES;C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12;classBCRPsub;0.0;158.0;mbcd0001675;0.0;;Aldosterone;classBCRPsub;smiles;C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12;classBCRPsub;0.0;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;;;0.0;valid
